,Año,Trimestre,Provincia,Accesos_Por_Cada_100_Hogares,Fecha
111,2023.0,1.0,Río Negro,69.16,2023-01-01
112,2023.0,1.0,Salta,57.67,2023-01-01
113,2023.0,1.0,San Juan,49.75,2023-01-01
114,2023.0,1.0,San Luis,90.17,2023-01-01
115,2023.0,1.0,Santa Cruz,43.42,2023-01-01
116,2023.0,1.0,Santa Fe,78.13,2023-01-01
117,2023.0,1.0,Santiago Del Estero,47.55,2023-01-01
118,2023.0,1.0,Tierra Del Fuego,104.23,2023-01-01
119,2023.0,1.0,Tucumán,60.34,2023-01-01
120,2022.0,4.0,Buenos Aires,78.94,2022-10-01
121,2022.0,4.0,Capital Federal,122.73,2022-10-01
122,2022.0,4.0,Catamarca,65.77,2022-10-01
123,2022.0,4.0,Chaco,43.62,2022-10-01
124,2022.0,4.0,Chubut,85.57,2022-10-01
125,2022.0,4.0,Córdoba,89.03,2022-10-01
126,2022.0,4.0,Corrientes,51.64,2022-10-01
127,2022.0,4.0,Entre Ríos,64.01,2022-10-01
128,2022.0,4.0,Formosa,39.41,2022-10-01
129,2022.0,4.0,Jujuy,58.46,2022-10-01
130,2022.0,4.0,La Pampa,94.8,2022-10-01
131,2022.0,4.0,La Rioja,79.86,2022-10-01
132,2022.0,4.0,Mendoza,51.36,2022-10-01
133,2022.0,4.0,Misiones,52.85,2022-10-01
134,2022.0,4.0,Neuquén,78.67,2022-10-01
135,2022.0,4.0,Río Negro,68.42,2022-10-01
136,2022.0,4.0,Salta,57.96,2022-10-01
137,2022.0,4.0,San Juan,50.88,2022-10-01
138,2022.0,4.0,San Luis,90.27,2022-10-01
139,2022.0,4.0,Santa Cruz,43.53,2022-10-01
140,2022.0,4.0,Santa Fe,78.4,2022-10-01
141,2022.0,4.0,Santiago Del Estero,48.05,2022-10-01
142,2022.0,4.0,Tierra Del Fuego,101.44,2022-10-01
143,2022.0,4.0,Tucumán,61.04,2022-10-01
144,2022.0,3.0,Buenos Aires,78.11,2022-07-01
145,2022.0,3.0,Capital Federal,122.28,2022-07-01
146,2022.0,3.0,Catamarca,65.33,2022-07-01
147,2022.0,3.0,Chaco,43.86,2022-07-01
148,2022.0,3.0,Chubut,84.38,2022-07-01
149,2022.0,3.0,Córdoba,88.31,2022-07-01
150,2022.0,3.0,Corrientes,48.21,2022-07-01
151,2022.0,3.0,Entre Ríos,63.67,2022-07-01
152,2022.0,3.0,Formosa,43.76,2022-07-01
153,2022.0,3.0,Jujuy,58.91,2022-07-01
154,2022.0,3.0,La Pampa,96.59,2022-07-01
155,2022.0,3.0,La Rioja,80.66,2022-07-01
156,2022.0,3.0,Mendoza,51.03,2022-07-01
157,2022.0,3.0,Misiones,51.82,2022-07-01
158,2022.0,3.0,Neuquén,80.37,2022-07-01
159,2022.0,3.0,Río Negro,67.98,2022-07-01
160,2022.0,3.0,Salta,57.76,2022-07-01
161,2022.0,3.0,San Juan,50.8,2022-07-01
162,2022.0,3.0,San Luis,81.74,2022-07-01
163,2022.0,3.0,Santa Cruz,43.19,2022-07-01
164,2022.0,3.0,Santa Fe,78.55,2022-07-01
165,2022.0,3.0,Santiago Del Estero,47.98,2022-07-01
166,2022.0,3.0,Tierra Del Fuego,99.51,2022-07-01
167,2022.0,3.0,Tucumán,61.14,2022-07-01
168,2022.0,2.0,Buenos Aires,77.58,2022-04-01
169,2022.0,2.0,Capital Federal,121.31,2022-04-01
170,2022.0,2.0,Catamarca,62.4,2022-04-01
171,2022.0,2.0,Chaco,43.79,2022-04-01
172,2022.0,2.0,Chubut,83.19,2022-04-01
173,2022.0,2.0,Córdoba,87.48,2022-04-01
174,2022.0,2.0,Corrientes,48.35,2022-04-01
175,2022.0,2.0,Entre Ríos,63.9,2022-04-01
176,2022.0,2.0,Formosa,43.42,2022-04-01
177,2022.0,2.0,Jujuy,57.32,2022-04-01
178,2022.0,2.0,La Pampa,92.98,2022-04-01
179,2022.0,2.0,La Rioja,80.14,2022-04-01
180,2022.0,2.0,Mendoza,49.39,2022-04-01
181,2022.0,2.0,Misiones,51.0,2022-04-01
182,2022.0,2.0,Neuquén,80.02,2022-04-01
183,2022.0,2.0,Río Negro,67.85,2022-04-01
184,2022.0,2.0,Salta,57.54,2022-04-01
185,2022.0,2.0,San Juan,49.46,2022-04-01
186,2022.0,2.0,San Luis,81.76,2022-04-01
187,2022.0,2.0,Santa Cruz,43.15,2022-04-01
188,2022.0,2.0,Santa Fe,77.9,2022-04-01
189,2022.0,2.0,Santiago Del Estero,47.7,2022-04-01
190,2022.0,2.0,Tierra Del Fuego,99.86,2022-04-01
191,2022.0,2.0,Tucumán,59.31,2022-04-01
192,2022.0,1.0,Buenos Aires,76.08,2022-01-01
193,2022.0,1.0,Capital Federal,111.8,2022-01-01
194,2022.0,1.0,Catamarca,58.21,2022-01-01
195,2022.0,1.0,Chaco,44.06,2022-01-01
196,2022.0,1.0,Chubut,88.05,2022-01-01
197,2022.0,1.0,Córdoba,85.76,2022-01-01
198,2022.0,1.0,Corrientes,47.64,2022-01-01
199,2022.0,1.0,Entre Ríos,63.7,2022-01-01
200,2022.0,1.0,Formosa,34.96,2022-01-01
201,2022.0,1.0,Jujuy,58.06,2022-01-01
202,2022.0,1.0,La Pampa,91.66,2022-01-01
203,2022.0,1.0,La Rioja,78.77,2022-01-01
204,2022.0,1.0,Mendoza,48.74,2022-01-01
205,2022.0,1.0,Misiones,49.04,2022-01-01
206,2022.0,1.0,Neuquén,74.17,2022-01-01
207,2022.0,1.0,Río Negro,67.04,2022-01-01
208,2022.0,1.0,Salta,56.11,2022-01-01
209,2022.0,1.0,San Juan,43.55,2022-01-01
210,2022.0,1.0,San Luis,80.72,2022-01-01
211,2022.0,1.0,Santa Cruz,43.34,2022-01-01
212,2022.0,1.0,Santa Fe,77.3,2022-01-01
213,2022.0,1.0,Santiago Del Estero,47.17,2022-01-01
214,2022.0,1.0,Tierra Del Fuego,98.29,2022-01-01
215,2022.0,1.0,Tucumán,57.39,2022-01-01
216,2021.0,4.0,Buenos Aires,75.66,2021-10-01
217,2021.0,4.0,Capital Federal,111.27,2021-10-01
218,2021.0,4.0,Catamarca,55.25,2021-10-01
219,2021.0,4.0,Chaco,44.05,2021-10-01
220,2021.0,4.0,Chubut,82.57,2021-10-01
221,2021.0,4.0,Córdoba,84.51,2021-10-01
222,2021.0,4.0,Corrientes,45.51,2021-10-01
223,2021.0,4.0,Entre Ríos,63.16,2021-10-01
224,2021.0,4.0,Formosa,34.45,2021-10-01
225,2021.0,4.0,Jujuy,56.92,2021-10-01
226,2021.0,4.0,La Pampa,89.57,2021-10-01
227,2021.0,4.0,La Rioja,77.92,2021-10-01
228,2021.0,4.0,Mendoza,47.51,2021-10-01
