,Año,Trimestre,Provincia,Accesos_Por_Cada_100_Hab,Fecha
116,2023.0,1.0,Santa Fe,24.57,2023-01-01
117,2023.0,1.0,Santiago Del Estero,11.8,2023-01-01
118,2023.0,1.0,Tierra Del Fuego,30.9,2023-01-01
119,2023.0,1.0,Tucumán,14.95,2023-01-01
120,2022.0,4.0,Buenos Aires,26.72,2022-10-01
122,2022.0,4.0,Catamarca,16.73,2022-10-01
123,2022.0,4.0,Chaco,11.66,2022-10-01
124,2022.0,4.0,Chubut,26.23,2022-10-01
125,2022.0,4.0,Córdoba,27.26,2022-10-01
126,2022.0,4.0,Corrientes,13.6,2022-10-01
127,2022.0,4.0,Entre Ríos,19.14,2022-10-01
128,2022.0,4.0,Formosa,10.03,2022-10-01
129,2022.0,4.0,Jujuy,14.95,2022-10-01
130,2022.0,4.0,La Pampa,31.23,2022-10-01
131,2022.0,4.0,La Rioja,21.26,2022-10-01
132,2022.0,4.0,Mendoza,14.33,2022-10-01
133,2022.0,4.0,Misiones,14.39,2022-10-01
134,2022.0,4.0,Neuquén,23.41,2022-10-01
135,2022.0,4.0,Río Negro,21.04,2022-10-01
136,2022.0,4.0,Salta,14.04,2022-10-01
137,2022.0,4.0,San Juan,12.96,2022-10-01
138,2022.0,4.0,San Luis,25.83,2022-10-01
139,2022.0,4.0,Santa Cruz,12.95,2022-10-01
140,2022.0,4.0,Santa Fe,24.65,2022-10-01
141,2022.0,4.0,Santiago Del Estero,11.92,2022-10-01
142,2022.0,4.0,Tierra Del Fuego,30.07,2022-10-01
143,2022.0,4.0,Tucumán,15.12,2022-10-01
144,2022.0,3.0,Buenos Aires,26.37,2022-07-01
146,2022.0,3.0,Catamarca,16.62,2022-07-01
147,2022.0,3.0,Chaco,11.72,2022-07-01
148,2022.0,3.0,Chubut,25.86,2022-07-01
149,2022.0,3.0,Córdoba,27.04,2022-07-01
150,2022.0,3.0,Corrientes,12.69,2022-07-01
151,2022.0,3.0,Entre Ríos,19.04,2022-07-01
152,2022.0,3.0,Formosa,11.14,2022-07-01
153,2022.0,3.0,Jujuy,15.06,2022-07-01
154,2022.0,3.0,La Pampa,31.82,2022-07-01
155,2022.0,3.0,La Rioja,21.47,2022-07-01
156,2022.0,3.0,Mendoza,14.24,2022-07-01
157,2022.0,3.0,Misiones,14.11,2022-07-01
158,2022.0,3.0,Neuquén,23.92,2022-07-01
159,2022.0,3.0,Río Negro,20.91,2022-07-01
160,2022.0,3.0,Salta,13.99,2022-07-01
161,2022.0,3.0,San Juan,12.94,2022-07-01
162,2022.0,3.0,San Luis,23.39,2022-07-01
163,2022.0,3.0,Santa Cruz,12.85,2022-07-01
164,2022.0,3.0,Santa Fe,24.7,2022-07-01
165,2022.0,3.0,Santiago Del Estero,11.91,2022-07-01
166,2022.0,3.0,Tierra Del Fuego,29.5,2022-07-01
167,2022.0,3.0,Tucumán,15.14,2022-07-01
168,2022.0,2.0,Buenos Aires,26.13,2022-04-01
170,2022.0,2.0,Catamarca,15.87,2022-04-01
171,2022.0,2.0,Chaco,11.7,2022-04-01
172,2022.0,2.0,Chubut,25.5,2022-04-01
173,2022.0,2.0,Córdoba,26.78,2022-04-01
174,2022.0,2.0,Corrientes,12.73,2022-04-01
175,2022.0,2.0,Entre Ríos,19.1,2022-04-01
176,2022.0,2.0,Formosa,11.05,2022-04-01
177,2022.0,2.0,Jujuy,14.66,2022-04-01
178,2022.0,2.0,La Pampa,30.63,2022-04-01
179,2022.0,2.0,La Rioja,21.33,2022-04-01
180,2022.0,2.0,Mendoza,13.78,2022-04-01
181,2022.0,2.0,Misiones,13.89,2022-04-01
182,2022.0,2.0,Neuquén,23.82,2022-04-01
183,2022.0,2.0,Río Negro,20.87,2022-04-01
184,2022.0,2.0,Salta,13.94,2022-04-01
185,2022.0,2.0,San Juan,12.6,2022-04-01
186,2022.0,2.0,San Luis,23.4,2022-04-01
187,2022.0,2.0,Santa Cruz,12.84,2022-04-01
188,2022.0,2.0,Santa Fe,24.5,2022-04-01
189,2022.0,2.0,Santiago Del Estero,11.84,2022-04-01
190,2022.0,2.0,Tierra Del Fuego,29.6,2022-04-01
191,2022.0,2.0,Tucumán,14.69,2022-04-01
192,2022.0,1.0,Buenos Aires,25.56,2022-01-01
194,2022.0,1.0,Catamarca,14.81,2022-01-01
195,2022.0,1.0,Chaco,11.78,2022-01-01
196,2022.0,1.0,Chubut,26.99,2022-01-01
197,2022.0,1.0,Córdoba,26.26,2022-01-01
198,2022.0,1.0,Corrientes,12.55,2022-01-01
199,2022.0,1.0,Entre Ríos,19.05,2022-01-01
200,2022.0,1.0,Formosa,8.9,2022-01-01
201,2022.0,1.0,Jujuy,14.85,2022-01-01
202,2022.0,1.0,La Pampa,30.2,2022-01-01
203,2022.0,1.0,La Rioja,20.97,2022-01-01
204,2022.0,1.0,Mendoza,13.6,2022-01-01
205,2022.0,1.0,Misiones,13.36,2022-01-01
206,2022.0,1.0,Neuquén,22.08,2022-01-01
207,2022.0,1.0,Río Negro,20.62,2022-01-01
208,2022.0,1.0,Salta,13.59,2022-01-01
209,2022.0,1.0,San Juan,11.09,2022-01-01
210,2022.0,1.0,San Luis,23.1,2022-01-01
211,2022.0,1.0,Santa Cruz,12.89,2022-01-01
212,2022.0,1.0,Santa Fe,24.31,2022-01-01
213,2022.0,1.0,Santiago Del Estero,11.71,2022-01-01
214,2022.0,1.0,Tierra Del Fuego,29.14,2022-01-01
215,2022.0,1.0,Tucumán,14.22,2022-01-01
216,2021.0,4.0,Buenos Aires,25.36,2021-10-01
218,2021.0,4.0,Catamarca,14.05,2021-10-01
219,2021.0,4.0,Chaco,11.77,2021-10-01
220,2021.0,4.0,Chubut,25.31,2021-10-01
221,2021.0,4.0,Córdoba,25.87,2021-10-01
222,2021.0,4.0,Corrientes,11.98,2021-10-01
223,2021.0,4.0,Entre Ríos,18.88,2021-10-01
224,2021.0,4.0,Formosa,8.77,2021-10-01
225,2021.0,4.0,Jujuy,14.56,2021-10-01
226,2021.0,4.0,La Pampa,29.51,2021-10-01
227,2021.0,4.0,La Rioja,20.74,2021-10-01
228,2021.0,4.0,Mendoza,13.26,2021-10-01
229,2021.0,4.0,Misiones,13.36,2021-10-01
230,2021.0,4.0,Neuquén,21.82,2021-10-01
231,2021.0,4.0,Río Negro,20.21,2021-10-01
232,2021.0,4.0,Salta,13.76,2021-10-01
233,2021.0,4.0,San Juan,10.08,2021-10-01
234,2021.0,4.0,San Luis,22.98,2021-10-01
235,2021.0,4.0,Santa Cruz,12.81,2021-10-01
236,2021.0,4.0,Santa Fe,24.24,2021-10-01
237,2021.0,4.0,Santiago Del Estero,11.68,2021-10-01
238,2021.0,4.0,Tierra Del Fuego,29.17,2021-10-01
239,2021.0,4.0,Tucumán,13.85,2021-10-01
240,2021.0,3.0,Buenos Aires,23.97,2021-07-01
242,2021.0,3.0,Catamarca,13.41,2021-07-01
243,2021.0,3.0,Chaco,11.48,2021-07-01
244,2021.0,3.0,Chubut,24.74,2021-07-01
245,2021.0,3.0,Córdoba,24.89,2021-07-01
246,2021.0,3.0,Corrientes,11.82,2021-07-01
247,2021.0,3.0,Entre Ríos,18.59,2021-07-01
248,2021.0,3.0,Formosa,8.64,2021-07-01
249,2021.0,3.0,Jujuy,14.24,2021-07-01
250,2021.0,3.0,La Pampa,27.77,2021-07-01
251,2021.0,3.0,La Rioja,20.57,2021-07-01
252,2021.0,3.0,Mendoza,12.71,2021-07-01
253,2021.0,3.0,Misiones,12.41,2021-07-01
254,2021.0,3.0,Neuquén,20.75,2021-07-01
255,2021.0,3.0,Río Negro,19.06,2021-07-01
256,2021.0,3.0,Salta,13.55,2021-07-01
257,2021.0,3.0,San Juan,10.05,2021-07-01
